# {"t_start": 1550232864.192254, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
540.0,806,21628.887964
880.0,657,21659.840516
1080.0,980,21706.5905
900.0,646,21736.285829
660.0,501,21759.176537
320.0,484,21781.702575
960.0,706,21813.659354
400.0,837,21851.32953
700.0,837,21890.178467
800.0,521,21914.179255
700.0,871,21954.67145
660.0,457,21975.712793
140.0,939,22018.388196
440.0,421,22037.352589
400.0,763,22073.194412
200.0,507,22096.83767
400.0,564,22122.653214
740.0,618,22150.876801
500.0,723,22183.600154
1120.0,811,22220.769745
540.0,538,22245.205527
1360.0,580,22272.801931
20.0,494,22295.678846
300.0,493,22318.161726
1000.0,661,22348.351197
260.0,499,22371.001338
520.0,620,22399.463274
260.0,506,22423.023047
660.0,744,22457.833941
1140.0,691,22489.137408
280.0,764,22524.225486
340.0,633,22553.822688
0.0,698,22586.209013
60.0,514,22610.331364
0.0,599,22638.237483
160.0,498,22661.971107
1380.0,733,22696.046511
180.0,589,22723.238468
280.0,582,22750.05569
440.0,724,22783.656549
360.0,516,22807.209748
200.0,707,22839.91369
380.0,888,22880.385454
860.0,526,22904.748742
940.0,636,22933.914784
700.0,713,22966.831373
540.0,680,22998.549408
500.0,518,23023.644483
0.0,708,23055.516517
380.0,638,23084.601187
120.0,806,23121.599799
340.0,518,23146.936256
960.0,699,23179.414045
1040.0,735,23214.041538
20.0,805,23251.231634
960.0,613,23279.836728
940.0,465,23301.919334
740.0,627,23330.942349
980.0,1166,23384.965088
660.0,505,23407.824521
640.0,408,23426.727784
660.0,596,23454.768975
440.0,511,23478.04553
1480.0,1468,23545.602409
1140.0,501,23568.423638
40.0,777,23603.66982
280.0,526,23627.515791
760.0,630,23656.118628
300.0,559,23681.250727
0.0,795,23716.967956
500.0,446,23737.132453
100.0,679,23768.43206
820.0,871,23808.415456
360.0,545,23833.885748
360.0,613,23861.738431
220.0,520,23885.511352
380.0,333,23900.965123
1220.0,516,23924.874945
300.0,524,23949.001386
680.0,620,23976.943466
720.0,451,23997.725021
140.0,517,24021.229322
1700.0,912,24063.316907
540.0,532,24088.252532
640.0,731,24121.997165
1040.0,544,24146.929745
680.0,477,24168.771401
860.0,466,24189.837603
820.0,498,24212.127426
1160.0,629,24241.365404
160.0,525,24265.710241
480.0,517,24289.110293
60.0,535,24313.803384
440.0,575,24340.713886
300.0,632,24369.739191
80.0,371,24386.850906
760.0,808,24424.991399
60.0,874,24464.618788
940.0,694,24496.351846
140.0,734,24529.651468
280.0,774,24564.057418
1340.0,493,24585.80982
60.0,613,24612.825009
440.0,506,24635.059738
1040.0,590,24661.572219
460.0,649,24690.648408
300.0,713,24723.007663
280.0,493,24745.279754
860.0,380,24762.472217
460.0,514,24785.581114
1220.0,712,24817.564928
720.0,875,24858.53743
440.0,698,24890.176492
200.0,421,24909.199101
520.0,614,24937.175838
1380.0,697,24969.290894
300.0,382,24986.744052
380.0,540,25011.38828
280.0,610,25039.504482
1040.0,671,25070.319918
240.0,568,25096.666735
380.0,746,25130.296929
580.0,518,25153.843205
280.0,827,25191.992366
320.0,362,25208.915989
960.0,566,25234.851043
300.0,531,25259.318704
300.0,585,25286.84379
0.0,463,25307.800088
860.0,531,25332.237195
1440.0,1247,25389.511553
680.0,758,25424.330658
600.0,458,25444.745477
440.0,540,25469.170317
580.0,519,25492.574835
140.0,506,25514.832874
1160.0,521,25537.684682
400.0,540,25561.848843
340.0,542,25586.590373
420.0,755,25621.822578
300.0,416,25641.42718
440.0,508,25664.94898
960.0,841,25703.409913
420.0,616,25731.523019
500.0,479,25752.933544
140.0,501,25776.246337
140.0,468,25797.187103
360.0,619,25825.105289
880.0,660,25855.437514
300.0,469,25877.109428
340.0,446,25897.674103
1000.0,809,25935.493417
680.0,1114,25987.080908
820.0,606,26013.928868
420.0,450,26034.820454
940.0,642,26064.018489
660.0,869,26103.725452
0.0,547,26128.841578
640.0,545,26153.991173
1360.0,645,26183.599982
680.0,901,26225.223316
60.0,736,26260.116138
580.0,1003,26305.812454
200.0,724,26339.510027
220.0,958,26384.207755
160.0,1046,26432.330532
220.0,496,26454.946031
1020.0,705,26486.777994
760.0,475,26508.520909
480.0,445,26528.61986
520.0,1237,26584.587219
560.0,562,26610.288157
100.0,801,26647.825105
560.0,751,26681.982059
300.0,576,26708.943004
1180.0,474,26730.90905
300.0,523,26754.86726
380.0,719,26788.017482
100.0,709,26820.783186
960.0,629,26849.676676
140.0,822,26888.133528
1220.0,752,26922.856285
920.0,643,26952.329266
780.0,543,26977.020564
0.0,754,27011.112278
840.0,629,27039.595625
1000.0,975,27083.446852
1060.0,1166,27135.21657
820.0,600,27162.568963
1040.0,766,27196.529832
700.0,488,27218.504335
200.0,629,27247.188506
640.0,618,27275.511009
160.0,425,27294.795648
100.0,476,27317.401493
1000.0,780,27353.460845
1180.0,606,27381.114664
740.0,747,27414.990373
620.0,512,27438.107417
800.0,461,27459.192479
700.0,630,27488.099654
300.0,476,27509.67972
680.0,675,27540.6242
740.0,492,27563.272974
1200.0,663,27593.739421
480.0,521,27618.086723
520.0,486,27640.155884
180.0,543,27665.337031
560.0,526,27689.858937
360.0,541,27714.59737
980.0,514,27738.337469
360.0,653,27768.830507
960.0,715,27801.147428
600.0,720,27833.395039
220.0,753,27867.10897
700.0,598,27894.374742
420.0,412,27913.136253
760.0,411,27931.940371
400.0,564,27958.432881
660.0,614,27986.593536
840.0,552,28011.598137
980.0,583,28038.016872
720.0,422,28057.293802
620.0,580,28084.932408
