# {"t_start": 1550232858.508675, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
315.0,817,23539.539575
609.0,1167,23591.360496
420.0,1006,23635.986578
336.0,833,23672.648818
651.0,1426,23735.413367
567.0,1215,23789.182652
525.0,1826,23872.422537
462.0,834,23910.223939
189.0,763,23944.18605
441.0,1153,23997.058455
504.0,994,24042.021114
651.0,1364,24103.767933
609.0,1381,24165.459944
294.0,571,24191.035506
462.0,994,24234.81773
682.0,1471,24300.564042
294.0,767,24333.87482
546.0,1128,24384.009914
420.0,995,24427.485245
462.0,1315,24486.059543
315.0,1018,24531.520161
210.0,618,24558.885806
357.0,896,24598.097662
315.0,763,24631.486271
441.0,669,24660.572371
682.0,1071,24707.468918
441.0,726,24740.083254
546.0,1054,24785.87958
525.0,1060,24832.694247
441.0,866,24871.277772
294.0,686,24901.748291
378.0,655,24930.635611
483.0,826,24967.481
357.0,758,25000.677261
525.0,975,25043.416354
357.0,802,25078.784895
336.0,956,25120.353441
420.0,861,25158.019279
462.0,1368,25218.425126
504.0,1034,25262.760939
378.0,700,25292.607157
525.0,1007,25335.815741
273.0,768,25369.160757
567.0,989,25412.693847
483.0,912,25453.237
567.0,1158,25504.233978
294.0,733,25536.839107
609.0,1059,25584.086386
525.0,807,25619.648468
661.0,1250,25675.843424
546.0,955,25717.645514
336.0,924,25758.423958
734.0,1536,25826.390352
546.0,953,25869.471848
315.0,571,25894.936329
609.0,843,25932.205533
546.0,882,25971.520297
399.0,820,26007.634541
693.0,1087,26055.71999
357.0,678,26087.112102
504.0,1067,26134.061589
483.0,742,26166.555218
682.0,1486,26233.100031
567.0,998,26277.436259
462.0,950,26319.380375
378.0,578,26344.770995
682.0,1505,26411.786262
441.0,798,26447.031847
399.0,863,26485.29983
744.0,1375,26547.069224
504.0,1058,26594.42425
441.0,933,26635.780494
630.0,1127,26686.254573
630.0,1169,26737.98773
441.0,835,26775.244577
525.0,1043,26821.565665
567.0,970,26864.678621
693.0,995,26909.543745
378.0,831,26946.202508
441.0,827,26982.80199
525.0,831,27019.267865
567.0,979,27062.665459
